source,transaction,url,title,price,currency,governorate,city,property_type,surface_m2,rooms,bathrooms,posted_at,scraped_at
mubawab,sale,https://www.mubawab.tn/fr/a/8042065/%C3%A0-vendre-un-appartement-s2-%C3%A0-gammarth,À vendre un appartement S2 à Gammarth,350000.0,TND,,La Marsa,Apartment,152.0,2,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8117055/appartement-s3-%C3%A0-la-marsa,Appartement S3 à La Marsa,2800.0,TND,,La Marsa,Apartment,150.0,3,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8128463/opportunit%C3%A9-d-investissement-exceptionnelle,Opportunité d'investissement exceptionnelle,,,,Bizerte,Apartment,154.0,3,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8147479/a-louer-un-s4-meubl%C3%A9-au-lac-2,A louer un S4 meublé au Lac 2,4800.0,TND,,La Marsa,Apartment,219.0,5,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8150672/a-louer-un-s3-au-lac-2,A louer un S3 au lac 2,,,,La Marsa,Apartment,15.0,3,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8158257/a-vendre-apparemment-s2-vue-mer,A vendre apparemment s2 vue mer,350000.0,TND,,Nabeul,Apartment,57.0,2,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8196323/a-vendre-penthouse-vue-panoramique,A Vendre Penthouse Vue Panoramique,405000.0,TND,,Sousse Jaouhara,Apartment,120.0,2,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8208718/%C3%A0-vendre-s2-dans-une-r%C3%A9sidence-avec-piscine-%C3%A0-afh-mrezga,À vendre S2 dans une résidence avec piscine à Afh mrezga,385000.0,TND,,Nabeul,Apartment,107.0,2,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8215073/a-lou%C3%A9-appartement-meubl%C3%A9,A Loué Appartement meublé,1800.0,TND,,Sousse Ville,Apartment,200.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8217528/%C3%A0-vendre-s1-de-57m%C2%B2avec-une-terrasse-%C3%A0-afh-mrezga,À vendre S1 de 57m²avec une terrasse à AFH mrezga,285000.0,TND,,Nabeul,Apartment,57.0,1,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8218387/location-annuelle-s2-meubl%C3%A9-vue-de-mer-%C3%A0-jasmin,Location annuelle S2 meublé Vue De Mer à Jasmin,1800.0,TND,,Nabeul,Apartment,120.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8224936/a-vendre-appartement-s2,A Vendre Appartement s2,200000.0,TND,,Sousse Jaouhara,Apartment,92.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8239768/%C3%A0-vendre-s2-dans-une-r%C3%A9sidence-%C3%A0-cit%C3%A9-el-wafa,À vendre S2 dans une résidence à cité el wafa,475000.0,TND,,Nabeul,Apartment,104.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8243238/vendre-appartement-s3-jamais-habit%C3%A9,Vendre Appartement S3 jamais habité,290000.0,TND,,Kélibia,Apartment,3.0,3,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8246583/a-louer-un-penthouse-avec-piscine-au-lac-2,A louer un penthouse avec piscine au Lac 2,8000.0,TND,,La Marsa,Apartment,380.0,4,4,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8247790/%C3%A0-vendre-appartement-s1-panorama,À vendre: Appartement S1 Panorama,225000.0,TND,,Sousse Ville,Apartment,574.0,1,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8251066/appartement-s1-pour-la-vente-direct-promoteur,Appartement S1 pour la vente direct promoteur,200000.0,TND,,Sousse Ville,Apartment,82.0,1,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8252827/a-louer-s3-meubl%C3%A9-au-lac-2,A louer S3 meublé au Lac 2,4000.0,TND,,La Marsa,Apartment,250.0,3,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8254649/s1-meubl%C3%A9-%C3%A0-louer-%C3%A0-la-marsa,S1 Meublé à louer à la Marsa,2000.0,TND,,La Marsa,Apartment,1.0,1,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8257482/a-louer-s3-avec-vue-panoramique-au-lac-2,A louer S3 avec vue panoramique au lac 2,4500.0,TND,,La Marsa,Apartment,1.0,3,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8257904/a-vendre-appartement-s2-hst-%C3%A0-beb-saadoun,A vendre appartement S2 hst à Beb Saadoun,285000.0,TND,,Le Bardo,Apartment,10.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8258888/%C3%A0-vendre-appartement-s2,À vendre Appartement S2,380000.0,TND,,La Soukra,Apartment,143.0,2,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8267422/appartement-s2-d%E2%80%99une-r%C3%A9sidence-proche-de-la-mer,Appartement S2 d’une résidence proche de la mer,200000.0,TND,,Kélibia,Apartment,117.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8274502/appartement-haut-standing-%C3%A0-cit%C3%A9-riadh-kelibia,Appartement haut standing à cité Riadh Kelibia,230000.0,TND,,Kélibia,Apartment,100.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8276245/a-vendre-s1-dans-une-r%C3%A9sidence-s%C3%A9curis%C3%A9,A Vendre S1 dans une résidence sécurisé,145000.0,TND,,Sousse Ville,Apartment,10.0,1,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8276558/%C3%A0-vendre-s1-dans-une-r%C3%A9sidence-%C3%A0-hammamet-nord,À vendre S1 dans une résidence à Hammamet Nord,210000.0,TND,,Hammamet,Apartment,35.0,1,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8277654/s3-avec-jardin-%C3%A0-louer-%C3%A0-la-marsa,S3 avec jardin à louer à la Marsa,3200.0,TND,,La Marsa,Apartment,1.0,3,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8278425/%C3%A0-louer-s2-jamais-habit%C3%A9-%C3%A0-ain-zaghouan-nord,À louer S2 jamais habité à ain zaghouan nord,1900.0,TND,,La Marsa,Apartment,65.0,2,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8278781/a-louer-s1-meubl%C3%A9-aux-jardins-de-carthage,A louer S1 meublé aux jardins de Carthage,2200.0,TND,,Le Kram,Apartment,1.0,1,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8279014/alouer-appartement-s4-avec-une-chambre-de-service,Alouer appartement S4 avec une chambre de service,2800.0,TND,,Le Kram,Apartment,1.0,4,3,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8283934/%C3%A0-vendre-un-appartement-s2-rdc-avec-garage,À vendre un appartement s2 RDC avec garage,285000.0,TND,,Kélibia,Apartment,125.0,2,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8284253/%C3%A0-louer-%C3%A9tage-de-villa-s2-meubl%C3%A9-gustave-flaubert,À louer étage de villa S2 meublé Gustave Flaubert,2700.0,TND,,La Marsa,Apartment,20.0,2,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8285533/%C3%A0-louer-appart-s1-meubl%C3%A9-et-jamais-habit%C3%A9,À louer appart S1 meublé et jamais habité,1250.0,TND,,La Marsa,Apartment,68.0,1,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8288885/a-vendre-un-immeuble-sur-le-vieux-port-de-bizerte,A Vendre un immeuble sur le vieux port de bizerte,650000.0,TND,,Bizerte,Apartment,160.0,3,3,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8293935/a-louer-appartement-s1-avec-jardin-%C3%A0-afh-mrezga,A Louer Appartement S1 Avec Jardin à AFH Mrezga,1300.0,TND,,Nabeul,Apartment,30.0,1,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8294120/a-louer-un-s2-neuf-aux-jardins-de-carthage,A louer un s2 neuf aux Jardins de Carthage,2200.0,TND,,Le Kram,Apartment,1.0,2,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8296006/%C3%A0-louer-centre-urbain-nord-un-bel-appartement-s3,À louer Centre urbain nord un bel appartement S3,2500.0,TND,,Cité El Khadra,Apartment,180.0,3,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8297351/appartement-%C3%A0-la-marsa,Appartement à La Marsa,2700.0,TND,,La Marsa,Apartment,150.0,3,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8297397/a-lou%C3%A9-appartement-s2-au-1er-%C3%A9tage,A loué Appartement s2 au 1er étage,850.0,TND,,Sousse Ville,Apartment,20.0,2,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8297811/particulier-met-%C3%A0-la-location-appartement-haut-standing-%C3%A0-dorret-el-menzah-galaxy-el-menzah-9c-agr%C3%A9ables-meubl%C3%A9,"Particulier met à la location Appartement haut standing à Dorret El Menzah GALAXY EL MENZAH 9C agréables, Meublé",2200.0,TND,,Ariana Ville,Apartment,140.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8297921/%C3%A0-vendre-appartement-s3-%C3%A0-cit%C3%A9-ennasr-2,À vendre Appartement S3 à Cité Ennasr 2,350000.0,TND,,Ariana Ville,Apartment,135.0,3,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8298695/a-louer-appartement-s2-aux-jardins-de-carthage,A louer appartement S2 aux Jardins de Carthage,2300.0,TND,,Le Kram,Apartment,1.0,2,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8299303/appartement-a-vendre,Appartement a vendre,85000.0,TND,,Douar Hicher,Apartment,83.0,2,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8300644/appartement-haut-standing-s2,Appartement haut standing S2,1000.0,TND,,La Manouba,Apartment,107.0,2,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8300650/appartement-s2-meubl%C3%A9-neuf-%C3%A0-jardin-de-carthage,Appartement S2 meublé neuf à Jardin de carthage,4200.0,TND,,Le Kram,Apartment,120.0,2,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8300651/appartement-s3-meubl%C3%A9-avec-piscine-%C3%A0-la-marsa,Appartement S3 meublé avec piscine à La Marsa,3500.0,TND,,La Marsa,Apartment,1.0,3,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8300660/un-duplex-s3,Un duplex s3,3600.0,TND,,La Marsa,Apartment,135.0,3,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8300666/a-vendre-s3-%C3%A0-sidi-abdelaziz,A vendre s3 à sidi Abdelaziz,950000.0,TND,,La Marsa,Apartment,80.0,3,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8300667/a-louer-appartement-s1-au-bardo-2,A louer appartement s1 au bardo 2,650.0,TND,,Le Bardo,Apartment,70.0,1,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8300680/a-louer-appartement-s-3-a-soukra,A louer appartement s 3 a soukra,1100.0,TND,,La Soukra,Apartment,76.0,3,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8300684/appartement-en-s1-%C3%A0-louer,Appartement en S1 à louer,2450.0,TND,,Le Kram,Apartment,75.0,1,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/pa/7937936/s2-neuf-%C3%A0-la-r%C3%A9sidence-jinene-soukra-1-chotrana-3,S2 Neuf à la Résidence Jinene Soukra 1 Chotrana 3,,,,La Soukra,Apartment,118.0,2,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/pa/8035990/vente-d-un-bel-appartement-%C3%A0-cit%C3%A9-el-ghazela-superficie-113-m%C2%B2,Vente d'un bel appartement à Cité el Ghazela. Superficie 113 m²,,,,Raoued,Apartment,113.0,2,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/pa/8106947/s1-%E2%80%93-r%C3%A9sidence-l%E2%80%99ultime-projet-diar-rached,S1 – Résidence L’ULTIME Projet Diar Rached,,,,Le Kram,Apartment,63.0,1,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/pa/8153015/grand-s3-avec-jardin-et-terrase-de-135m%C2%B2,Grand S3 avec jardin et terrase de 135m²,,,,La Soukra,Apartment,135.0,3,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/pa/8208534/appartement-en-vente-%C3%A0-les-jardins-de-carthage,Appartement en vente à Les Jardins de Carthage,415000.0,TND,,Le Kram,Apartment,4.0,1,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/pa/8243698/s2-moderne-a-vendre,S2 moderne a vendre,617200.0,TND,,La Marsa,Apartment,167.0,2,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/pa/8286614/duplex-de-luxe-avec-jardin-et-piscine,Duplex de luxe avec Jardin et Piscine,950000.0,TND,,La Soukra,Apartment,139.0,3,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/pa/8293890/appartement-%C3%A0-vendre-%C3%A0-les-jardins-de-carthage-2-chambres,Appartement à vendre à Les Jardins de Carthage. 2 chambres,,,,Le Kram,Apartment,88.0,2,2,,2026-02-10T10:21:27.461533
